date,open,high,low,close,3Ema,5Ema,Reversal,transaction,IntraDayExit,tradeNo,profit
2019-05-05,29626.5,29757.4,29528.6,29618.45,29736.95,29764.34,29782.784653434835,Sell,Sell,531,-327.65
2019-05-06,29749.55,29835.5,29244.25,29288.2,29512.58,29605.63,29846.51012138289,X,-,531,0
2019-05-07,29261.3,29261.3,28951.35,28994.4,29253.49,29401.89,29884.783590468403,X,-,531,0
2019-05-08,28893.95,29040.3,28784.65,28884.6,29069.04,29229.46,29847.077481752203,X,-,531,0
2019-05-09,28927.6,29202.85,28900.1,29040.5,29054.77,29166.47,29710.695865221438,X,-,531,0
2019-05-12,29026.65,29049.05,28621.1,28659.95,28857.36,28997.63,29501.569348840945,X,-,531,0
2019-05-13,28718.75,29058.3,28582.6,28829.2,28843.28,28941.49,29418.440618573964,X,-,531,0
2019-05-14,28925.45,28983.15,28555.15,28616.45,28729.87,28833.14,29236.10760538932,X,-,531,0
2019-05-15,28625.9,28947.6,28525.45,28855.3,28792.58,28840.53,29142.970333429563,X,-,531,0
2019-05-16,28881.4,29559.45,28856.0,29450.15,29121.37,29043.74,28984.362853871382,Buy,Buy,532,634.09
2019-05-19,30230.4,30827.85,30111.2,30759.7,29940.53,29615.72,28810.841551706762,X,-,532,0
2019-05-20,30862.1,30926.7,30265.1,30308.4,30124.47,29846.62,28641.294192367437,X,-,532,0
2019-05-21,30410.65,30675.1,30268.6,30526.8,30325.63,30073.34,29013.06270719308,X,-,532,0
2019-05-22,30962.8,31705.0,30292.35,30409.1,30367.37,30185.26,29316.475094269466,X,-,532,0
2019-05-23,30685.5,31275.4,30564.4,31212.55,30789.96,30527.69,29638.95004091668,X,-,532,0
2019-05-26,31234.9,31700.75,31142.5,31647.65,31218.80,30901.01,29740.89168297965,X,-,532,0
2019-05-27,31711.3,31712.4,31328.6,31597.9,31408.35,31133.31,29947.631949837378,X,-,532,0
2019-05-28,31459.25,31546.75,31257.9,31295.55,31351.95,31187.39,30308.173380483728,X,-,532,0
2019-05-29,31256.85,31619.25,31236.1,31537.1,31444.53,31303.96,30693.69996061854,X,-,532,0
2019-05-30,31678.9,31783.6,30623.05,31375.4,31409.96,31327.77,30882.258827227066,Buy,Sell,533,1432.11
2019-06-02,31406.05,31674.6,31284.7,31653.65,31531.81,31436.40,31081.201978225406,X,-,533,0
2019-06-03,31532.9,31752.7,31512.95,31589.05,31560.43,31487.28,31150.174365520637,X,-,533,0
2019-06-05,31523.95,31541.5,30800.8,30857.4,31208.91,31277.32,31267.844433698934,Sell,Sell,534,-107.56
2019-06-06,30943.15,31139.6,30627.05,31066.55,31137.73,31207.06,31482.54371747523,X,-,534,0
2019-06-09,31259.2,31367.4,30861.3,31034.0,31085.87,31149.38,31415.061192488123,X,-,534,0
2019-06-10,31172.25,31399.35,30973.35,31265.45,31175.66,31188.07,31339.906818744406,Sell,Buy,535,-482.51
2019-06-11,31219.3,31222.3,30911.45,30965.7,31070.68,31113.94,31225.29589103913,X,-,535,0
2019-06-12,30876.75,31036.9,30638.25,30976.1,31023.39,31068.00,31243.7429332975,X,-,535,0
2019-06-13,30983.45,31032.65,30508.95,30614.35,30818.87,30916.78,31201.818125167396,X,-,535,0
2019-06-16,30652.0,30684.05,30249.4,30273.25,30546.06,30702.27,31210.515168262777,X,-,535,0
2019-06-17,30299.45,30550.65,30222.85,30351.0,30448.53,30585.18,31170.90332125078,X,-,535,0
2019-06-18,30526.5,30699.15,30242.0,30362.1,30405.31,30510.82,30995.13215203832,X,-,535,0
2019-06-19,30390.2,30824.55,30220.7,30781.1,30593.21,30600.91,30827.336403627793,X,-,535,0
2019-06-20,30804.95,30804.95,30541.5,30628.35,30610.78,30610.06,30624.03175355299,Buy,Buy,536,460.50
2019-06-23,30680.95,30783.65,30528.0,30602.05,30606.41,30607.39,30607.89991126924,Sell,Sell,537,-20.45
2019-06-24,30567.65,30913.25,30451.4,30847.05,30726.73,30687.28,30610.314311963113,Buy,Buy,538,-8.26
2019-06-25,30809.2,31202.7,30766.65,31162.35,30944.54,30845.63,30568.9083935339,X,-,538,0
2019-06-26,31192.1,31490.6,31158.8,31269.5,31107.02,30986.92,30548.913355135184,X,-,538,0
2019-06-27,31281.0,31308.9,31060.6,31105.2,31106.11,31026.35,30626.629449813074,X,-,538,0
2019-06-30,31271.0,31450.35,31246.45,31372.2,31239.16,31141.63,30787.06323973686,X,-,538,0
2019-07-01,31414.65,31431.35,31105.1,31283.3,31261.23,31188.85,30849.063963088644,X,-,538,0
2019-07-02,31347.7,31467.15,31238.5,31382.3,31321.76,31253.34,30971.73687702448,X,-,538,0
2019-07-03,31471.0,31608.35,31428.05,31471.85,31396.81,31326.17,31048.055035499012,X,-,538,0
2019-07-04,31523.05,31660.75,31323.25,31475.8,31436.30,31376.05,31114.276915740687,X,-,538,0
2019-07-07,31346.85,31370.4,30536.75,30603.85,31020.08,31118.65,31195.288056531135,Sell,Sell,539,348.24
2019-07-08,30533.4,30702.1,30346.7,30569.15,30794.61,30935.48,31414.368760706086,X,-,539,0
2019-07-09,30618.05,30728.35,30428.6,30522.1,30658.36,30797.69,31358.092535313408,X,-,539,0
2019-07-10,30707.0,30788.05,30565.35,30716.55,30687.45,30770.64,31215.685037630275,X,-,539,0
2019-07-11,30789.75,30870.95,30548.3,30601.45,30644.45,30714.25,31020.210032130883,X,-,539,0
2019-07-14,30688.85,30695.7,30334.2,30445.95,30545.20,30624.81,30923.62502494258,X,-,539,0
2019-07-15,30532.65,30635.0,30429.9,30570.8,30558.00,30606.81,30863.650851722734,X,-,539,0
2019-07-16,30622.25,30799.7,30568.3,30735.5,30646.75,30649.71,30753.234318695657,Sell,Buy,540,-149.38
